num_cus,num_tmacs,mem_buf_cap,net_buf_cap,mem_banks_per_group,mem_ranks,mem_frac_bank_cap,batch_size,kv_cache,latency_ms,energy_mJ,latency_per_token_ms,energy_per_inference_mJ,energy_per_token_mJ,prefill_tokens_per_sec,average_power_W,system_power_W,average_power_mem_W,average_power_comp_W,average_power_net_W,system_cost,chiplet_silicon_cost,memory_cost_2xHBLC,package_cost,package_silicon_cost,package_memory_cost,package_substrate_cost,system_silicon_cost,system_memory_cost,system_substrate_cost,system_pcb_cost,avg_comp_util,avg_mem_util,system_compute_TOPS,system_bandwidth_TBps,system_capacity_GB,num_packages,num_chiplets,hblc_capacity_GB,hblc_bandwidth_GBps,hblc_bw_per_capacity,peak_buffer_MB,avg_cache_util_MB,model_weight_capacity_GB,kv_cache_capacity_per_batch_GB,total_model_capacity_GB,cores_per_cu,mem_buffer_size,net_buffer_size,tmacs_per_core,hblc_bank_groups,hblc_ranks,hblc_frac_bank_cap
32,32,0.25,2.0,1,2,1.0,55,7960,1.97433975,33.75977493173566,0.035897086363636366,33.75977493173566,0.6138140896679212,27857.414105145785,17.0993079225434,547.1778535213888,9.682634407028734,7.1986010066912325,0.21807250882472903,2573.142304990508,29.047600409151638,48.37729498215091,320.35364629188575,116.19040163660655,193.50917992860363,10.654064726675575,929.5232130928524,1548.073439428829,85.2325178134046,10.313134655421957,0.12075713916931922,1.0,4194.304,16.384,96.0,8.0,32.0,1.5,256.0,170.66666666666666,1.289306640625,0.0864745028370867,3.7413997650146484,0.48583984375,30.46259117126465,16.0,262144.0,2097152.0,32.0,1.0,2.0,1.0
64,14,1.0,1.0,4,1,0.5,35,6990,0.5988620625,10.868921252114943,0.017110344642857142,10.868921252114943,0.3105406072032841,58444.17636657356,18.149411242359193,1161.5623195109883,10.500158978318618,7.24492539711453,0.40432686692583025,4311.016600419225,18.733189034318638,44.86232789645782,267.81335211480587,74.93275613727455,179.44931158583128,13.43128439170007,1198.9240981963928,2871.1889853733005,214.9005502672011,26.002966582331336,0.2826833134981591,1.0,3670.016,32.768,192.0,16.0,64.0,1.5,256.0,170.66666666666666,1.3486328125,0.23712223534453078,3.74116849899292,0.4266357421875,18.67341947555542,16.0,1048576.0,1048576.0,14.0,4.0,1.0,0.5
64,16,1.0,1.0,4,1,0.5,35,6990,0.5988610624999999,10.940299202259872,0.01711031607142857,10.940299202259872,0.3125799772074249,58444.27395878656,18.268631844447643,1169.1924380446492,10.500250689431976,7.359734787421934,0.40864636759348055,4379.530258116565,19.761449983299933,44.86232789645782,272.07720751658167,79.04579993319973,179.44931158583128,13.582095997550658,1264.7327989311957,2871.1889853733005,217.31353596081053,26.294937851258076,0.24733500401201686,1.0,4194.304,32.768,192.0,16.0,64.0,1.5,256.0,170.66666666666666,1.34814453125,0.23694335368373423,3.74116849899292,0.4266357421875,18.67341947555542,16.0,1048576.0,1048576.0,16.0,4.0,1.0,0.5
64,14,1.0,1.0,4,1,0.5,35,6819,0.5871020625,10.710318426196059,0.016774344642857143,10.710318426196059,0.306009097891316,59614.84763136903,18.242810035156708,1167.5398422500293,10.499343684188837,7.3310405236482765,0.41242582731890814,4311.016600419225,18.733189034318638,44.86232789645782,267.81335211480587,74.93275613727455,179.44931158583128,13.43128439170007,1198.9240981963928,2871.1889853733005,214.9005502672011,26.002966582331336,0.2869497201000617,1.0,3670.016,32.768,192.0,16.0,64.0,1.5,256.0,170.66666666666666,1.348876953125,0.24176195275802057,3.7411277294158936,0.41619873046875,18.308083295822144,16.0,1048576.0,1048576.0,14.0,4.0,1.0,0.5
