Metric,Value
total_latency_s,0.000332850625
peak_buffer_MB,0.123291015625
avg_cache_util_MB,0.005609977579690993
total_energy_J,0.0059587958973059095
average_power_W,17.902527620058965
average_power_mem_W,13.686097851474345
average_power_comp_W,4.12314286982072
average_power_net_W,0.09328689876394747
avg_mem_util,1.0
avg_comp_util,0.06875166138174059
chiplet_silicon_cost,28.11474511523046
memory_cost_2xHBLC,122.51696266532564
package_cost,615.3540770724582
package_silicon_cost,112.45898046092184
package_memory_cost,490.06785066130254
package_substrate_cost,12.827245950233799
system_cost,4935.249390659492
system_silicon_cost,899.6718436873747
system_memory_cost,3920.5428052904203
system_substrate_cost,102.61796760187039
system_pcb_cost,12.416774079826318
num_packages,8
system_compute_TOPS,3145.728
system_bandwidth_TBps,16.384
system_capacity_GB,288.0
hblc_capacity_GB,4.5
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,56.888888888888886
hblc_energy_total_pJ_per_bit,2.573
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,1.258
hblc_energy_movmem_pJ_per_bit,0.885
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,61.25848133266282
hblc_cost_per_GB,13.612995851702848
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,4
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,7482
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,32
model_weight_capacity_GB,3.741285800933838
kv_cache_capacity_per_batch_GB,0.4566650390625
total_model_capacity_GB,5.567945957183838
hblc_bank_groups,3
hblc_ch_per_layer,1
hblc_ranks,4
hblc_frac_bank_cap,0.5
cores_per_cu,16
mem_buffer_size,1048576.0
net_buffer_size,2097152.0
tmacs_per_core,24
