Metric,Value
total_latency_s,1.2084187500000001e-05
peak_buffer_MB,0.219970703125
avg_cache_util_MB,0.02782133696964448
total_energy_J,0.0002352932954759007
average_power_W,19.477619488596574
average_power_mem_W,13.717717854097906
average_power_comp_W,5.492194959830607
average_power_net_W,0.2677066746680656
avg_mem_util,1.0
avg_comp_util,0.3655820437168206
chiplet_silicon_cost,12.46821768537074
memory_cost_2xHBLC,140.66762380092945
package_cost,624.3957878723885
package_silicon_cost,49.87287074148296
package_memory_cost,562.6704952037178
package_substrate_cost,11.852421927187711
system_cost,10013.278894809251
system_silicon_cost,797.9659318637274
system_memory_cost,9002.727923259485
system_substrate_cost,189.63875083500338
system_pcb_cost,22.946288851035412
num_packages,16
system_compute_TOPS,2097.152
system_bandwidth_TBps,32.768
system_capacity_GB,768.0
hblc_capacity_GB,6.0
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,42.666666666666664
hblc_energy_total_pJ_per_bit,2.728
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,1.258
hblc_energy_movmem_pJ_per_bit,1.04
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,70.33381190046472
hblc_cost_per_GB,11.722301983410787
model_name,llama3-8b
num_layers,32
sim_num_layers,1
batch_size,16
prefill_batch,False
prefill_chunk_size,256
prefill_cached,1024
kv_cache,8192
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,64
model_weight_capacity_GB,3.741455078125
kv_cache_capacity_per_batch_GB,0.5
total_model_capacity_GB,11.741455078125
hblc_bank_groups,2
hblc_ch_per_layer,1
hblc_ranks,4
hblc_frac_bank_cap,1.0
cores_per_cu,16
mem_buffer_size,262144.0
net_buffer_size,1048576.0
tmacs_per_core,8
