Metric,Value
total_latency_s,0.0006547035549535235
peak_buffer_MB,4.0
avg_cache_util_MB,2.1969396004352153
total_energy_J,0.01214298751524635
average_power_W,18.547419840705967
average_power_mem_W,12.851024163307427
average_power_comp_W,5.298472325043656
average_power_net_W,0.39792335235491216
avg_mem_util,0.8029934575347611
avg_comp_util,0.7449498025601371
chiplet_silicon_cost,10.41169578740815
memory_cost_2xHBLC,184.34804587472516
package_cost,797.8497653640197
package_silicon_cost,41.6467831496326
package_memory_cost,737.3921834989006
package_substrate_cost,18.810798715486534
system_cost,19203.020928206246
system_silicon_cost,999.5227955911823
system_memory_cost,17697.412403973616
system_substrate_cost,451.4591691716768
system_pcb_cost,54.62655946977291
num_packages,24
system_compute_TOPS,1572.864
system_bandwidth_TBps,49.152
system_capacity_GB,1728.0
hblc_capacity_GB,9.0
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,28.444444444444443
hblc_energy_total_pJ_per_bit,3.1470000000000002
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.962
hblc_energy_movmem_pJ_per_bit,1.7550000000000001
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,92.17402293736258
hblc_cost_per_GB,10.241558104151398
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,41
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,7212
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,96
model_weight_capacity_GB,3.7412214279174805
kv_cache_capacity_per_batch_GB,0.440185546875
total_model_capacity_GB,21.78882884979248
hblc_bank_groups,4
hblc_ch_per_layer,1
hblc_ranks,3
hblc_frac_bank_cap,1.0
cores_per_cu,16
mem_buffer_size,262144.0
net_buffer_size,1048576.0
tmacs_per_core,4
