Metric,Value
total_latency_s,0.00039381747558593747
peak_buffer_MB,1.162841796875
avg_cache_util_MB,0.2478556787301493
total_energy_J,0.009327230470902951
average_power_W,23.684386261860087
average_power_mem_W,12.959069590890495
average_power_comp_W,9.83495753374731
average_power_net_W,0.8903591372226064
avg_mem_util,1.0
avg_comp_util,0.3201879832379446
chiplet_silicon_cost,24.001701319305276
memory_cost_2xHBLC,107.82621551163167
package_cost,540.8556668505792
package_silicon_cost,96.0068052772211
package_memory_cost,431.3048620465267
package_substrate_cost,13.543999526831442
system_cost,13019.867779039818
system_silicon_cost,2304.1633266533063
system_memory_cost,10351.31668911664
system_substrate_cost,325.0559886439546
system_pcb_cost,39.33177462591852
num_packages,24
system_compute_TOPS,6291.456
system_bandwidth_TBps,49.152
system_capacity_GB,864.0
hblc_capacity_GB,4.5
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,56.888888888888886
hblc_energy_total_pJ_per_bit,2.432
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.962
hblc_energy_movmem_pJ_per_bit,1.04
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,53.91310775581584
hblc_cost_per_GB,11.980690612403519
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,46
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,4618
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,96
model_weight_capacity_GB,3.740602970123291
kv_cache_capacity_per_batch_GB,0.2818603515625
total_model_capacity_GB,16.70617914199829
hblc_bank_groups,2
hblc_ch_per_layer,1
hblc_ranks,3
hblc_frac_bank_cap,1.0
cores_per_cu,16
mem_buffer_size,1048576.0
net_buffer_size,2097152.0
tmacs_per_core,16
