Metric,Value
total_latency_s,0.0004600030517986577
peak_buffer_MB,1.4434814453125
avg_cache_util_MB,0.295857177082658
total_energy_J,0.012698822238339355
average_power_W,27.606192205582303
average_power_mem_W,15.677368086316223
average_power_comp_W,11.027360101079699
average_power_net_W,0.9014640181849544
avg_mem_util,1.0
avg_comp_util,0.26759909519518504
chiplet_silicon_cost,16.485855826235806
memory_cost_2xHBLC,190.5819419238399
package_cost,844.3428665214842
package_silicon_cost,65.94342330494322
package_memory_cost,762.3277676953596
package_substrate_cost,16.071675521181252
system_cost,20310.90094222913
system_silicon_cost,1582.6421593186374
system_memory_cost,18295.866424688633
system_substrate_cost,385.7202125083501
system_pcb_cost,46.67214571351037
num_packages,24
system_compute_TOPS,8650.752
system_bandwidth_TBps,49.152
system_capacity_GB,1728.0
hblc_capacity_GB,9.0
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,28.444444444444443
hblc_energy_total_pJ_per_bit,3.0396666666666667
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,1.258
hblc_energy_movmem_pJ_per_bit,1.3516666666666668
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,95.29097096191995
hblc_cost_per_GB,10.58788566243555
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,63
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,4055
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,96
model_weight_capacity_GB,3.740468740463257
kv_cache_capacity_per_batch_GB,0.24749755859375
total_model_capacity_GB,19.332814931869507
hblc_bank_groups,3
hblc_ch_per_layer,1
hblc_ranks,4
hblc_frac_bank_cap,1.0
cores_per_cu,16
mem_buffer_size,262144.0
net_buffer_size,262144.0
tmacs_per_core,22
