Metric,Value
total_latency_s,0.00197433975
peak_buffer_MB,1.289306640625
avg_cache_util_MB,0.0864745028370867
total_energy_J,0.03375977493173566
average_power_W,17.0993079225434
average_power_mem_W,9.682634407028734
average_power_comp_W,7.1986010066912325
average_power_net_W,0.21807250882472903
avg_mem_util,1.0
avg_comp_util,0.12075713916931922
chiplet_silicon_cost,29.047600409151638
memory_cost_2xHBLC,48.37729498215091
package_cost,320.35364629188575
package_silicon_cost,116.19040163660655
package_memory_cost,193.50917992860363
package_substrate_cost,10.654064726675575
system_cost,2573.142304990508
system_silicon_cost,929.5232130928524
system_memory_cost,1548.073439428829
system_substrate_cost,85.2325178134046
system_pcb_cost,10.313134655421957
num_packages,8
system_compute_TOPS,4194.304
system_bandwidth_TBps,16.384
system_capacity_GB,96.0
hblc_capacity_GB,1.5
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,170.66666666666666
hblc_energy_total_pJ_per_bit,1.751
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.6659999999999999
hblc_energy_movmem_pJ_per_bit,0.655
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,24.188647491075454
hblc_cost_per_GB,16.125764994050304
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,55
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,7960
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,32
model_weight_capacity_GB,3.7413997650146484
kv_cache_capacity_per_batch_GB,0.48583984375
total_model_capacity_GB,30.46259117126465
hblc_bank_groups,1
hblc_ch_per_layer,1
hblc_ranks,2
hblc_frac_bank_cap,1.0
cores_per_cu,16
mem_buffer_size,262144.0
net_buffer_size,2097152.0
tmacs_per_core,32
